t,data
200,0.040178212
200.5,0.050033321
201,0.047220146
201.5,0.047709301
202,0.039247981
202.5,0.044108733
203,0.050577298
203.5,0.044925751
204,0.052914374
204.5,0.041915022
205,0.068305734
205.5,0.039982418
206,0.029566512
206.5,0.043092613
207,0.047054501
207.5,0.038369005
208,0.046591322
208.5,0.036044384
209,0.058275931
209.5,0.027149369
210,0.048021526
210.5,0.058006459
211,0.044950386
211.5,0.075097877
212,0.060383439
212.5,0.050443159
213,0.052168407
213.5,0.055466966
214,0.035554927
214.5,0.04896432
215,0.057299843
215.5,0.044471157
216,0.052339151
216.5,0.038151653
217,0.055889614
217.5,0.059995923
218,0.057685889
218.5,0.061470135
219,0.051935663
219.5,0.037071218
220,0.037219692
220.5,0.048591724
221,0.03920255
221.5,0.051653381
222,0.063164908
222.5,0.035435682
223,0.051464734
223.5,0.051983335
224,0.048807173
224.5,0.037367104
225,0.053772504
225.5,0.03807885
226,0.050996906
226.5,0.05768264
227,0.046467192
227.5,0.049475229
228,0.035441426
228.5,0.067642667
229,0.047763041
229.5,0.060076301
230,0.044476527
230.5,0.049661396
231,0.048994629
231.5,0.048380787
232,0.046388516
232.5,0.030209236
233,0.043022637
233.5,0.047345686
234,0.051347125
234.5,0.048140624
235,0.050827427
235.5,0.036853669
236,0.048804572
236.5,0.044696756
237,0.054225084
237.5,0.063989814
238,0.05928406
238.5,0.045140024
239,0.042487661
239.5,0.039907997
240,0.03168437
240.5,0.063806961
241,0.043220378
241.5,0.053693678
242,0.05316438
242.5,0.071781675
243,0.051173306
243.5,0.036331628
244,0.065772228
244.5,0.060630207
245,0.055087727
245.5,0.032454883
246,0.054165415
246.5,0.05001261
247,0.043148053
247.5,0.062729805
248,0.045722505
248.5,0.055724734
249,0.045811708
249.5,0.031096098
250,0.036269797
250.5,0.046198962
251,0.043494831
251.5,0.044179162
252,0.042551978
252.5,0.066365605
253,0.048737729
253.5,0.056096065
254,0.056015289
254.5,0.055917132
255,0.036110453
255.5,0.039906959
256,0.053173928
256.5,0.043815252
257,0.054376844
257.5,0.049847219
258,0.060276987
258.5,0.045285628
259,0.080034951
259.5,0.041372279
260,0.05741082
260.5,0.065572793
261,0.061362518
261.5,0.054512553
262,0.034089321
262.5,0.044915372
263,0.041300215
263.5,0.035697147
264,0.048892761
264.5,0.041798895
265,0.046980175
265.5,0.064066336
266,0.037131311
266.5,0.055547438
267,0.038830162
267.5,0.045792596
268,0.049513152
268.5,0.03849738
269,0.052108002
269.5,0.042943729
270,0.046083417
270.5,0.038701117
271,0.046858953
271.5,0.059214128
272,0.044269595
272.5,0.070873848
273,0.052945697
273.5,0.054590169
274,0.036019882
274.5,0.051465355
275,0.047076834
275.5,0.05630749
276,0.045272451
276.5,0.033049962
277,0.043169172
277.5,0.045378938
278,0.045380436
278.5,0.072134465
279,0.044250626
279.5,0.029199025
280,0.047064679
280.5,0.057600368
281,0.060926166
281.5,0.054448319
282,0.030288348
282.5,0.042382313
283,0.045956923
283.5,0.060430556
284,0.052143632
284.5,0.044256067
285,0.052943058
285.5,0.045650828
286,0.04667559
286.5,0.070702715
287,0.031994135
287.5,0.032594241
288,0.049997217
288.5,0.049939296
289,0.071659444
289.5,0.046551206
290,0.042402699
290.5,0.061956497
291,0.070027485
291.5,0.042177431
292,0.046423782
292.5,0.046490738
293,0.038963818
293.5,0.063016062
294,0.052781398
294.5,0.062679356
295,0.034478002
295.5,0.048683827
296,0.041716078
296.5,0.052679239
297,0.037019452
297.5,0.036969318
298,0.04285199
298.5,0.038745017
299,0.03251192
299.5,0.041278992
300,0.045840685
300.5,0.041201177
301,0.043810472
301.5,0.037200725
302,0.064880857
302.5,0.050004273
303,0.040757952
303.5,0.06268128
304,0.055888631
304.5,0.056697614
305,0.051181379
305.5,0.057169115
306,0.044669739
306.5,0.072315236
307,0.046046682
307.5,0.034951331
308,0.058185523
308.5,0.047344836
309,0.040411435
309.5,0.044431185
310,0.028758614
310.5,0.02851077
311,0.049707796
311.5,0.03263913
312,0.032497082
312.5,0.057346225
313,0.037711956
313.5,0.044876102
314,0.04123096
314.5,0.035698174
315,0.062841414
315.5,0.051543472
316,0.05358033
316.5,0.045588143
317,0.058902673
317.5,0.078921049
318,0.066526191
318.5,0.060514412
319,0.058354552
319.5,0.048681691
320,0.052237572
320.5,0.053644835
321,0.049045559
321.5,0.047050089
322,0.049766854
322.5,0.065791307
323,0.051793066
323.5,0.045040536
324,0.049022061
324.5,0.064290134
325,0.051648361
325.5,0.042921874
326,0.06303994
326.5,0.044058241
327,0.0556973
327.5,0.063817067
328,0.043114222
328.5,0.054297996
329,0.035431288
329.5,0.0402384
330,0.052259089
330.5,0.053710502
331,0.045609792
331.5,0.058804453
332,0.037944268
332.5,0.036611411
333,0.057165183
333.5,0.036834388
334,0.03775341
334.5,0.044228325
335,0.043955208
335.5,0.046562431
336,0.046880039
336.5,0.051882336
337,0.031545779
337.5,0.045720366
338,0.056661767
338.5,0.063416143
339,0.074721718
339.5,0.040865916
340,0.032417425
340.5,0.039196829
341,0.046346673
341.5,0.025291573
342,0.056862153
342.5,0.054051453
343,0.039441642
343.5,0.066599877
344,0.057519665
344.5,0.046213867
345,0.062802766
345.5,0.057552213
346,0.050248774
346.5,0.046523718
347,0.05159627
347.5,0.043696616
348,0.034384023
348.5,0.054390202
349,0.050974513
349.5,0.044701357
350,0.055472551
350.5,0.029395249
351,0.047220389
351.5,0.048101545
352,0.047270796
352.5,0.054347292
353,0.051774888
353.5,0.058791586
354,0.048275571
354.5,0.040217745
355,0.055365204
355.5,0.05965849
356,0.040457292
356.5,0.050272515
357,0.027846808
357.5,0.03388073
358,0.033728769
358.5,0.044222313
359,0.047109438
359.5,0.039293632
360,0.04860117
360.5,0.047610033
361,0.040395607
361.5,0.028888143
362,0.055977589
362.5,0.044024568
363,0.024896943
363.5,0.056925441
364,0.045750046
364.5,0.056012364
365,0.049949579
365.5,0.05187886
366,0.03849442
366.5,0.062057667
367,0.033963173
367.5,0.055096252
368,0.05586027
368.5,0.047078204
369,0.045319761
369.5,0.062004353
370,0.062697537
370.5,0.051232919
371,0.07220742
371.5,0.050202834
372,0.054495105
372.5,0.036043865
373,0.068947958
373.5,0.032529221
374,0.069413461
374.5,0.05437444
375,0.053070157
375.5,0.045796516
376,0.045848603
376.5,0.037165315
377,0.056166288
377.5,0.050404714
378,0.058480253
378.5,0.050150273
379,0.069673732
379.5,0.049141228
380,0.048097326
380.5,0.041774897
381,0.043158149
381.5,0.053487425
382,0.05023067
382.5,0.044001794
383,0.044780576
383.5,0.044306556
384,0.049650792
384.5,0.046427097
385,0.039108699
385.5,0.067235924
386,0.031986965
386.5,0.043398907
387,0.046691076
387.5,0.040136904
388,0.04114384
388.5,0.056596791
389,0.049112594
389.5,0.046921297
390,0.051437551
390.5,0.055564801
391,0.067788676
391.5,0.042066973
392,0.039265631
392.5,0.049340761
393,0.051392855
393.5,0.062717995
394,0.032314865
394.5,0.044529363
395,0.050011853
395.5,0.037822794
396,0.047920635
396.5,0.056031646
397,0.052114268
397.5,0.065577689
398,0.057378045
398.5,0.073809058
399,0.046361664
399.5,0.047029767
400,0.052480975
400.5,0.049671911
401,0.039665541
401.5,0.067153429
402,0.037452634
402.5,0.045894299
403,0.053770273
403.5,0.053216591
404,0.05093649
404.5,0.089581053
405,0.061237666
405.5,0.050901788
406,0.056455992
406.5,0.061077537
407,0.045603387
407.5,0.050915328
408,0.073821543
408.5,0.03433373
409,0.051950952
409.5,0.058506593
410,0.046810551
410.5,0.050019774
411,0.058514416
411.5,0.05902579
412,0.043252095
412.5,0.051398341
413,0.045263653
413.5,0.037974155
414,0.040398057
414.5,0.063376725
415,0.044035969
415.5,0.038563328
416,0.05681504
416.5,0.046821701
417,0.067809312
417.5,0.070263997
418,0.038634969
418.5,0.05660121
419,0.04128946
419.5,0.061806557
420,0.030837208
420.5,0.054635995
421,0.050788279
421.5,0.047216198
422,0.048488558
422.5,0.052285557
423,0.073545737
423.5,0.044515983
424,0.052081073
424.5,0.050075683
425,0.057337295
425.5,0.042377289
426,0.03820656
426.5,0.051967494
427,0.038967282
427.5,0.047086177
